Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,80.657501,81.162498,79.552498,80.074997,78.931564,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,77.144943,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,73.480522,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,70.991577,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,72.117767,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,67.403557,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,67.364128,426884800
2020-03-02,70.570000,75.360001,69.430000,74.702499,73.635773,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,71.297157,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,74.604240,219178400
