Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,33.605312,33.908920,32.979126,33.254269,30.018358,28323300
2018-04-03,33.311195,33.908920,33.130928,33.851994,30.557917,21347900
2018-04-04,33.510437,34.373814,33.434536,34.278938,30.943316,22010700
2018-04-05,33.842506,34.155598,33.709679,33.899429,30.600739,25781800
2018-04-06,33.738140,34.032257,33.102467,33.368122,30.121128,22288200
2018-04-09,33.491463,34.089184,33.415562,33.643265,30.369497,20457300
2018-04-10,34.155598,34.250473,33.889942,34.108158,30.789152,20667300
2018-04-11,33.899429,34.222012,33.766602,33.956356,30.652124,13879900
2018-04-12,34.184059,34.629982,34.127136,34.459202,31.106035,23818000
2018-04-13,34.544594,34.629982,34.278938,34.459202,31.106035,17774300
2018-04-16,34.629982,34.848198,34.525616,34.658443,31.285891,15932400
2018-04-17,34.867172,34.895638,34.411766,34.468689,31.114603,17675600
2018-04-18,34.516129,34.715370,34.421253,34.620495,31.251637,14652500
2018-04-19,34.525616,34.810246,34.411766,34.658443,31.285891,16636700
2018-04-20,34.629982,34.905125,34.601517,34.753319,31.371532,22372000
2018-04-23,34.791271,35.000000,34.724857,34.914612,31.517128,25381100
2018-04-24,35.018974,35.360531,34.886147,35.161289,31.739811,27106400
2018-04-25,35.028461,35.142315,34.639469,34.800758,31.414362,27730200
2018-04-26,34.914612,35.199242,34.867172,34.962048,31.559948,20405700
2018-04-27,34.895638,35.208729,34.819733,35.104362,31.688417,14425100
2018-04-30,35.227703,35.275143,34.535103,34.734344,31.354406,28295800
2018-05-01,33.757114,34.203037,32.865276,33.586338,30.318110,51278200
2018-05-02,33.368122,33.557877,32.960152,33.102467,29.881323,29550300
2018-05-03,33.036053,33.092979,32.656548,32.979126,29.769981,23517900
2018-05-04,32.789375,33.197342,32.609108,33.055027,29.838503,19795900
2018-05-07,33.007591,33.330170,32.931690,33.140419,29.915585,21580000
2018-05-08,33.121441,33.292221,32.931690,33.187855,29.958405,28269700
2018-05-09,33.225807,33.595825,33.083492,33.368122,30.121128,20430200
2018-05-10,33.206833,33.500950,33.102467,33.244781,30.302736,30906700
2018-05-11,33.330170,33.738140,33.273243,33.681213,30.700544,21620000
2018-05-14,33.690701,34.079697,33.671726,34.022770,31.011873,21485100
2018-05-15,33.690701,33.946869,33.662239,33.861481,30.864859,19345600
2018-05-16,33.899429,34.041744,33.747627,33.851994,30.856213,21870700
2018-05-17,33.804554,33.946869,33.624287,33.880455,30.882158,13021400
2018-05-18,33.785580,33.918407,33.614799,33.814041,30.821617,15734600
2018-05-21,33.880455,34.032257,33.700191,33.965843,30.959988,17802900
2018-05-22,33.965843,34.240986,33.861481,33.889942,30.890804,14477300
2018-05-23,33.851994,34.184059,33.804554,34.127136,31.107008,20358600
2018-05-24,34.117645,34.240986,33.937382,34.051235,31.037823,17523100
2018-05-25,33.984821,34.079697,33.719166,33.851994,30.856213,15005400
2018-05-29,33.557877,33.899429,33.510437,33.870968,30.873508,28179600
2018-05-30,34.108158,34.392788,34.060722,34.203037,31.176199,29093800
2018-05-31,34.108158,34.345352,34.051235,34.089184,31.072414,30926500
2018-06-01,34.402279,34.421253,34.259960,34.392788,31.349154,22345000
2018-06-04,34.544594,34.686909,34.373814,34.582542,31.522112,19015300
2018-06-05,34.639469,34.762810,34.478180,34.573055,31.513464,21476100
2018-06-06,34.535103,34.696396,34.335865,34.516129,31.461573,19368100
2018-06-07,34.620495,34.715370,34.506641,34.620495,31.556705,17083300
2018-06-08,34.658443,34.829224,34.582542,34.791271,31.712368,16453800
2018-06-11,34.914612,34.914612,34.421253,34.440228,31.392389,19505600
2018-06-12,34.525616,34.535103,34.297913,34.440228,31.392389,16371900
2018-06-13,34.506641,34.639469,34.345352,34.364326,31.323214,16029200
2018-06-14,34.364326,34.525616,34.203037,34.307400,31.271318,19959400
2018-06-15,34.335865,34.525616,34.184059,34.497154,31.444281,49157000
2018-06-18,34.278938,34.364326,33.899429,34.307400,31.271318,24143500
